name,link,sale_price,old_price,reviews,stars,percent_off
"GEEZER Wireless Keyboard and Mouse Combo Milk Tea Color, 106 Keys Less Noise Full-Size 2.4G Ultra-Slim Colorful Keyboards with Palm Rest, One USB Nano Receiver for Windows/Mac/Laptop/PC",https://www.amazon.ca/GEEZER-Wireless-Full-Size-Ultra-Slim-Keyboards/dp/B09Q8CDCSY/ref=sr_1_305?keywords=keyboard+mouse&qid=1670362015&sr=8-305,39.99,56.8,126,4.5,29
"Logitech MK345 Wireless Combo Full-Sized Keyboard with Palm Rest and Comfortable Right-Handed Mouse, 2.4 GHz Wireless USB Receiver, Compatible with PC, Laptop",https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg7_1?ie=UTF8&adId=A08140933AB2N2HPRIE5J&qualifier=1670362015&id=8327836221532008&widgetName=sp_mtf&url=%2FLogitech-MK345-Wireless-English-920-006481%2Fdp%2FB00QXT5T3U%2Fref%3Dsr_1_309_sspa%3Fkeywords%3Dkeyboard%2Bmouse%26qid%3D1670362015%26sr%3D8-309-spons%26psc%3D1,49.99,62.99,32697,4.3,20
"Wireless Keyboard and Mouse, UHURU 2.4GHz Full-Sized Ergonomic Keyboard and Mouse Combo with Palm Rest, Wireless Keyboard with 3 Level Adjustable DPI Mouse for PC, Laptop, Windows XP/7/8/10(Black)",https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg7_1?ie=UTF8&adId=A03887201EJLHSOSCD2Y1&qualifier=1670362015&id=8327836221532008&widgetName=sp_atf_next&url=%2FWireless-Keyboard-Full-Sized-Adjustable-Windows%2Fdp%2FB08612JSND%2Fref%3Dsr_1_292_sspa%3Fkeywords%3Dkeyboard%2Bmouse%26qid%3D1670362015%26sr%3D8-292-spons%26psc%3D1,33.57,39.98,432,4.1,16
"Microsoft Ergonomic Keyboard: Wired, Comfortable, ergonomic keyboard with cushioned wrist and palm support, split keyboard, dedicated Office key (English)",https://www.amazon.ca/Microsoft-LXM-00001-Ergonomic-Keyboard/dp/B07Y414QXJ/ref=sr_1_304?keywords=keyboard+mouse&qid=1670362015&sr=8-304,59.99,69.99,4663,4.3,14
"Perixx PERIDUO-307B, Wired Keyboard and Mouse Set - USB - Piano Black Design - Stylish Chiclet Key Design - 11 Multimedia Hot Keys - US Englich Layout",https://www.amazon.ca/Perixx-PERIDUO-307B-Wired-Keyboard-Mouse/dp/B01JMDVPYA/ref=sr_1_293?keywords=keyboard+mouse&qid=1670362015&sr=8-293,29.99,34.99,1666,4.2,14
"RAPOO Wireless Mouse, Multi-Device Bluetooth Mouse for Laptop, Cordless Mouse up to 3200 DPI, Rechargeable Ergonomic Mouse with Side Wheel, High Precision Laser Mouse for Computer MacBook Desktop",https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg7_1?ie=UTF8&adId=A0059998FIZ91HU045MK&qualifier=1670362015&id=8327836221532008&widgetName=sp_atf_next&url=%2FRapoo-MT750S-ROPOO-Mouse%2Fdp%2FB08RZ2NLSK%2Fref%3Dsr_1_290_sspa%3Fkeywords%3Dkeyboard%2Bmouse%26qid%3D1670362015%26sr%3D8-290-spons%26psc%3D1,49.99,54.99,405,4.1,9
Logitech Ergo K860 Wireless Ergonomic Keyboard with Wrist Rest and MX Vertical Wireless Mouse,https://www.amazon.ca/Logitech-Wireless-Ergonomic-Keyboard-Vertical/dp/B083XT2WWD/ref=sr_1_295?keywords=keyboard+mouse&qid=1670362015&sr=8-295,262.82,279.98,526,4.5,6
"Wireless Keyboard and Mouse Combo, RAPOO 9500M Multi-Device Wireless Keyboard and Mouse Combo, Portable Ultra-Slim Keyboard and Mouse Set, Computer Keyboard for Windows 10/Android/ Mac OS",https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg7_1?ie=UTF8&adId=A07681832P74UJFWX8ZCM&qualifier=1670362015&id=8327836221532008&widgetName=sp_atf_next&url=%2FWireless-Keyboard-9500M-Multi-Device-Ultra-Slim%2Fdp%2FB09R1HBBRZ%2Fref%3Dsr_1_291_sspa%3Fkeywords%3Dkeyboard%2Bmouse%26qid%3D1670362015%26sr%3D8-291-spons%26psc%3D1,74.99,78.99,51,3.9,5
"MageGee Gaming Keyboard and Mouse Combo, True RGB Backlit Membrane Office Keyboard, 104 Keys Aluminum Panel USB Quiet Wired Keyboard for Windows Laptop PC - White/Silver",https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg7_1?ie=UTF8&adId=A021375928PQH73WW8PXK&qualifier=1670362015&id=8327836221532008&widgetName=sp_mtf&url=%2FKeyboard-MageGee-Backlit-Aluminum-Computer%2Fdp%2FB08QZ96YXK%2Fref%3Dsr_1_312_sspa%3Fkeywords%3Dkeyboard%2Bmouse%26qid%3D1670362015%26sr%3D8-312-spons%26psc%3D1,36.99,36.99,45,4.4,0
"havit Gaming Keyboard Mouse Headset & Mouse Pad Kit, Rainbow LED Backlit Wired, Over Ear Headphone with Mic for PC, Computer, Xbox ONE & PS4, Tablet, Mobile Phones",https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg7_1?ie=UTF8&adId=A04927672LVSZIU0LXNJZ&qualifier=1670362015&id=8327836221532008&widgetName=sp_mtf&url=%2FRainbow-Backlit-Keyboard-Headset-Mousepad%2Fdp%2FB07FSF7C2P%2Fref%3Dsr_1_310_sspa%3Fkeywords%3Dkeyboard%2Bmouse%26qid%3D1670362015%26sr%3D8-310-spons%26psc%3D1,65.99,65.99,4136,4.3,0
"Wireless Keyboard and Mouse Combo, RAPOO Bluetooth Keyboaard and Mouse Set, Protable Compact Keyboards and 1300 DPI Wireless Mouse for PC, Desktop, Notebook, Laptop,Windows XP/7/8/10, Mac",https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg7_1?ie=UTF8&adId=A02380441EZ82EQ0CV447&qualifier=1670362015&id=8327836221532008&widgetName=sp_mtf&url=%2FWireless-Keyboard-Bluetooth-Keyboaard-Keyboards%2Fdp%2FB09SKDR9D7%2Fref%3Dsr_1_311_sspa%3Fkeywords%3Dkeyboard%2Bmouse%26qid%3D1670362015%26sr%3D8-311-spons%26psc%3D1,44.99,44.99,41,3.9,0
"Wireless Keyboard Mouse Set, Full Size Stylish Keyboard and Ergonomic Mouse with 3-Speed Micro Receiver, for Windows, Laptop, PC(Pink Wireless Keyboard Mouse Set)",https://www.amazon.ca/Wireless-Keyboard-Stylish-Ergonomic-Receiver/dp/B0926WZFC9/ref=sr_1_314?keywords=keyboard+mouse&qid=1670362015&sr=8-314,40.9,40.9,6,2.8,0
Mechanical LED Gaming Keyboard and Mouse Combo Blue Switch Wired Teclado Mecánico DIY MX Cherry 3 Pin Black Brown Red Key Compatible with Xbox one PS4 Windows MacOS for Labtop Desktop Computer,https://www.amazon.ca/Mechanical-Keyboard-Mec%C3%A1nico-Compatible-Computer/dp/B09WN8RXRF/ref=sr_1_313?keywords=keyboard+mouse&qid=1670362015&sr=8-313,39.99,39.99,244,4.5,0
"Mechanical Gaming Keyboard and Mouse Combo,87 Keys Compact Rainbow Backlit Keyboard,RGB Backlit 6400 DPI Lightweight Gaming Mouse with Honeycomb Shell for Windows PC Gamers",https://www.amazon.ca/Mechanical-Keyboard-Compact-Lightweight-Honeycomb/dp/B08CDB38W3/ref=sr_1_307?keywords=keyboard+mouse&qid=1670362015&sr=8-307,49.99,49.99,1110,3.9,0
"Air Mouse,MX3 Pro Backlit Mini Keyboard Remote Control,Mini Wireless Keyboard & IR Learning Air Mouse Remote,Best for Raspberry Pi 4 Android Smart Tv Box HTPC IPTV PC Pad Xbox",https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg7_1?ie=UTF8&adId=A086946430GCHB82VGS8F&qualifier=1670362015&id=8327836221532008&widgetName=sp_btf&url=%2FDupad-Story-MX3-Wireless-Raspberry%2Fdp%2FB071RTDYV2%2Fref%3Dsr_1_315_sspa%3Fkeywords%3Dkeyboard%2Bmouse%26qid%3D1670362015%26sr%3D8-315-spons%26psc%3D1,22.99,22.99,3020,3.9,0
"RAPOO 1680 2.4G Quiet Wireless Mouse, Portable USB Receiver, Long Range and Battery Life, Suitable for Desktop Computers Laptops, All-Day Comfort-Black",https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg7_1?ie=UTF8&adId=A099859626NPAR34BYTF7&qualifier=1670362015&id=8327836221532008&widgetName=sp_btf&url=%2FWireless-Portable-Receiver-Computers-Comfort-Black%2Fdp%2FB07R66QQNS%2Fref%3Dsr_1_316_sspa%3Fkeywords%3Dkeyboard%2Bmouse%26qid%3D1670362015%26sr%3D8-316-spons%26psc%3D1,15.99,15.99,672,4.2,0
"Rapoo Blue Wireless Mouse, Multi Device Silent Bluetooth Mouse(BT3.0+BT4.0+USB), Easy-Switch Up to 3 Devices, Wireless Noiseless Ergonomic Optical for Laptop MacBook Windows PC Tablet Android, M100G",https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg7_1?ie=UTF8&adId=A0983383ZPA1F0UPQ4VG&qualifier=1670362015&id=8327836221532008&widgetName=sp_btf&url=%2FRapoo-RAPOO-M100G-Blue%2Fdp%2FB08RZ5W2VW%2Fref%3Dsr_1_317_sspa%3Fkeywords%3Dkeyboard%2Bmouse%26qid%3D1670362015%26sr%3D8-317-spons%26psc%3D1,19.99,19.99,638,3.9,0
"Wireless Keyboard and Mouse Combo,2.4G Wireless Membrane Keyboard with slient Mouse,Quiet-Typing,Round Keys,Splash-Proof Design for PC/Laptop/Windows",https://www.amazon.ca/Wireless-Keyboard-Membrane-Quiet-Typing-Splash-Proof/dp/B0BHL1F88J/ref=sr_1_308?keywords=keyboard+mouse&qid=1670362015&sr=8-308,33.88,33.88,0,0.0,0
